invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I100001,C313884,Female,28,Clothing,2,600.16,Credit Card,2023-05-18,Istinye Park
I100002,C311565,Male,22,Technology,1,2100.00,Credit Card,2024-02-12,Zorlu Center
I100003,C366599,Male,20,Clothing,1,300.08,Cash,2023-09-11,Metrocity
I100004,C388172,Female,66,Books,5,75.75,Credit Card,2024-01-28,Metropol AVM
I100005,C389076,Female,53,Cosmetics,4,162.64,Cash,2023-10-24,Cevahir AVM
I100006,C335761,Female,56,Food & Beverage,5,26.15,Credit Card,2024-03-04,Kanyon
I100007,C331672,Male,30,Shoes,2,600.16,Credit Card,2023-07-23,Zorlu Center
I100008,C340286,Male,34,Food & Beverage,1,5.23,Cash,2024-09-26,Forum Istanbul
I100009,C321970,Male,46,Technology,1,5250.00,Credit Card,2023-12-25,Istinye Park
I100010,C329330,Female,63,Books,3,45.45,Credit Card,2024-08-13,Metrocity
I100011,C316297,Female,34,Souvenir,2,41.90,Credit Card,2023-09-28,Istinye Park
I100012,C362286,Female,36,Clothing,2,600.16,Credit Card,2024-01-28,Zorlu Center
I100013,C342953,Male,43,Technology,1,2100.00,Cash,2023-05-27,Metropol AVM
I100014,C324354,Male,41,Food & Beverage,5,26.15,Credit Card,2024-08-16,Kanyon
I100015,C373183,Female,25,Clothing,4,1200.32,Debit Card,2023-01-05,Cevahir AVM
I100016,C346228,Male,37,Shoes,2,600.16,Cash,2024-03-19,Metropol AVM
I100017,C391127,Female,48,Cosmetics,1,40.66,Credit Card,2023-04-12,Istinye Park
I100018,C389393,Female,19,Clothing,4,1200.32,Credit Card,2024-11-17,Zorlu Center
I100019,C384242,Male,51,Technology,1,5250.00,Debit Card,2023-02-09,Forum Istanbul
I100020,C323237,Male,32,Shoes,2,600.16,Credit Card,2024-06-21,Kanyon
I100021,C331388,Female,39,Food & Beverage,3,15.69,Cash,2023-09-03,Metrocity
I100022,C313341,Female,29,Clothing,1,300.08,Credit Card,2024-10-01,Cevahir AVM
I100023,C332145,Male,44,Toys,5,179.20,Debit Card,2023-07-07,Metropol AVM
I100024,C311440,Female,68,Books,3,45.45,Cash,2024-01-15,Zorlu Center
I100025,C395251,Male,26,Technology,2,4200.00,Credit Card,2023-02-28,Istinye Park
I100026,C361833,Female,55,Food & Beverage,5,26.15,Credit Card,2024-04-04,Kanyon
I100027,C332948,Male,22,Shoes,1,300.08,Cash,2023-12-30,Forum Istanbul
I100028,C393235,Male,24,Clothing,2,600.16,Credit Card,2024-05-20,Metrocity
I100029,C381223,Female,61,Shoes,4,1200.32,Debit Card,2023-06-14,Metropol AVM
I100030,C373934,Male,49,Books,1,15.15,Credit Card,2024-11-08,Zorlu Center
I100031,C320810,Female,31,Technology,3,6300.00,Credit Card,2023-09-02,Istinye Park
I100032,C337079,Female,45,Clothing,5,1500.40,Credit Card,2024-08-11,Cevahir AVM
I100033,C357833,Male,38,Food & Beverage,2,10.46,Cash,2023-06-01,Kanyon
I100034,C311831,Male,58,Technology,1,5250.00,Debit Card,2024-03-15,Forum Istanbul
I100035,C334666,Female,42,Clothing,3,900.24,Credit Card,2023-02-18,Metrocity
I100036,C383489,Female,50,Souvenir,4,83.80,Credit Card,2024-10-21,Istinye Park
I100037,C314533,Female,27,Cosmetics,2,81.32,Cash,2023-01-09,Zorlu Center
I100038,C390461,Male,33,Shoes,2,600.16,Credit Card,2024-04-26,Metropol AVM
I100039,C323334,Male,23,Toys,3,107.52,Debit Card,2023-12-07,Cevahir AVM
I100040,C338106,Female,72,Books,5,75.75,Credit Card,2024-07-30,Kanyon
I100041,C318227,Female,35,Clothing,4,1200.32,Credit Card,2023-08-22,Metrocity
I100042,C363773,Male,60,Technology,3,15750.00,Cash,2024-09-17,Forum Istanbul
I100043,C354833,Male,47,Food & Beverage,1,5.23,Debit Card,2023-05-13,Istinye Park
I100044,C387391,Female,41,Shoes,1,300.08,Credit Card,2024-03-03,Metropol AVM
I100045,C368615,Male,54,Cosmetics,2,81.32,Cash,2023-06-25,Zorlu Center
I100046,C363056,Female,29,Clothing,2,600.16,Credit Card,2024-10-18,Cevahir AVM
I100047,C387011,Female,33,Food & Beverage,4,20.92,Debit Card,2023-01-24,Kanyon
I100048,C340163,Male,28,Toys,1,35.84,Cash,2024-04-09,Metrocity
I100049,C343727,Female,40,Technology,1,2100.00,Credit Card,2023-02-11,Forum Istanbul
I100050,C393622,Female,57,Books,2,30.30,Credit Card,2024-09-14,Istinye Park
I100051,C378313,Male,19,Shoes,3,900.24,Debit Card,2023-08-29,Metropol AVM
I100052,C359293,Male,29,Clothing,1,300.08,Credit Card,2024-11-23,Cevahir AVM
I100053,C377268,Female,38,Cosmetics,3,121.98,Cash,2023-05-01,Zorlu Center
I100054,C393291,Female,44,Food & Beverage,5,26.15,Credit Card,2024-01-18,Kanyon
I100055,C351952,Male,52,Technology,2,4200.00,Debit Card,2023-07-06,Forum Istanbul
I100056,C399430,Female,36,Shoes,4,1200.32,Credit Card,2024-12-12,Metrocity
I100057,C353321,Male,65,Books,3,45.45,Cash,2023-02-03,Istinye Park
I100058,C382667,Female,47,Clothing,2,600.16,Credit Card,2024-10-29,Metropol AVM
I100059,C336531,Male,35,Souvenir,5,104.75,Debit Card,2023-06-16,Zorlu Center
I100060,C345083,Male,64,Cosmetics,2,81.32,Credit Card,2024-03-22,Akasya
I100061,C332862,Female,23,Toys,3,107.52,Cash,2023-11-01,Emaar Square Mall
I100062,C378837,Male,18,Technology,4,8400.00,Credit Card,2024-08-05,Istinye Park
I100063,C376160,Female,33,Shoes,5,1500.40,Debit Card,2023-07-14,Cevahir AVM
I100064,C339983,Male,45,Books,1,15.15,Cash,2024-04-28,Kanyon
I100065,C365282,Female,59,Food & Beverage,2,10.46,Credit Card,2023-10-10,Metropol AVM
I100066,C382336,Female,26,Clothing,2,600.16,Credit Card,2024-09-05,Zorlu Center
I100067,C313611,Male,39,Souvenir,3,62.85,Debit Card,2023-12-19,Forum Istanbul
I100068,C359583,Male,70,Technology,5,26250.00,Credit Card,2024-02-23,Metrocity
I100069,C357748,Female,43,Cosmetics,4,162.64,Cash,2023-05-30,Akasya
I100070,C348239,Female,51,Food & Beverage,1,5.23,Credit Card,2024-08-18,Emaar Square Mall
I100071,C341163,Male,24,Shoes,2,600.16,Debit Card,2023-07-12,Istinye Park
I100072,C316411,Male,32,Clothing,3,900.24,Credit Card,2024-06-03,Cevahir AVM
I100073,C393339,Female,28,Books,5,75.75,Cash,2023-03-08,Kanyon
I100074,C368481,Female,46,Toys,2,71.68,Credit Card,2024-11-20,Metropol AVM
I100075,C318677,Male,37,Technology,2,4200.00,Debit Card,2023-10-25,Zorlu Center
I100076,C312338,Female,62,Cosmetics,1,40.66,Credit Card,2024-01-31,Forum Istanbul
I100077,C350873,Male,55,Food & Beverage,4,20.92,Cash,2023-04-14,Metrocity
I100078,C396962,Female,22,Clothing,5,1500.40,Credit Card,2024-12-28,Akasya
I100079,C333283,Male,31,Shoes,4,1200.32,Debit Card,2023-09-22,Emaar Square Mall
I100080,C319630,Male,40,Souvenir,2,41.90,Cash,2024-08-27,Istinye Park
